Date,SampleSize,Cohort
2017-01-11,1,Popart-Zambia-Central
2017-01-12,3,Popart-Zambia-Central
2017-01-16,1,Popart-Zambia-Central
2017-01-17,4,Popart-Zambia-Central
2017-01-18,1,Popart-Zambia-Central
2017-01-19,1,Popart-Zambia-Central
2017-08-24,10,Popart-Zambia-Central
2017-06-20,2,Popart-Zambia-Central
2017-06-08,5,Popart-Zambia-Central
2017-06-22,2,Popart-Zambia-Central
2017-06-12,3,Popart-Zambia-Central
2017-06-23,1,Popart-Zambia-Central
2017-06-27,2,Popart-Zambia-Central
2017-06-09,2,Popart-Zambia-Central
2017-06-29,1,Popart-Zambia-Central
2017-06-14,3,Popart-Zambia-Central
2017-06-13,2,Popart-Zambia-Central
2017-07-05,4,Popart-Zambia-Central
2017-06-16,5,Popart-Zambia-Central
2018-06-08,1,Popart-Zambia-Central
2017-07-06,2,Popart-Zambia-Central
2017-06-15,2,Popart-Zambia-Central
2017-07-07,2,Popart-Zambia-Central
2017-06-19,1,Popart-Zambia-Central
2017-07-10,2,Popart-Zambia-Central
2017-07-11,2,Popart-Zambia-Central
2017-08-28,6,Popart-Zambia-Central
2017-08-31,1,Popart-Zambia-Central
2017-09-01,2,Popart-Zambia-Central
2017-09-04,4,Popart-Zambia-Central
2017-08-30,1,Popart-Zambia-Central
2017-09-05,2,Popart-Zambia-Central
2017-09-06,6,Popart-Zambia-Central
2017-09-08,3,Popart-Zambia-Central
2017-09-11,3,Popart-Zambia-Central
2017-09-07,3,Popart-Zambia-Central
2017-09-12,4,Popart-Zambia-Central
2017-09-13,5,Popart-Zambia-Central
2017-09-14,2,Popart-Zambia-Central
2017-08-29,2,Popart-Zambia-Central
2017-07-13,2,Popart-Zambia-Central
2017-05-18,4,Popart-Zambia-Central
2017-05-19,1,Popart-Zambia-Central
2017-05-22,3,Popart-Zambia-Central
2017-05-23,3,Popart-Zambia-Central
2017-05-26,1,Popart-Zambia-Central
2017-05-29,5,Popart-Zambia-Central
2017-05-30,6,Popart-Zambia-Central
